dataset,subject,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,reg_rating,look_neg_rating,look_neu_rating,reg_success,emotion_reactivity
AHAB,1,45.6520547945205,1,27,18,1,1,2.85714285714286,3.23076923076923,1.35714285714286,0.37362637362637,1.87362637362637
AHAB,2,30.3945205479452,1,24,9,1,1,2.46666666666667,3.6,1,1.13333333333333,2.6
AHAB,3,33.4849315068493,1,29,4,1,3,3.33333333333333,4.35714285714286,1.06666666666667,1.02380952380953,3.29047619047619
AHAB,4,35.2821917808219,1,30,18,1,6,2.8,3.33333333333333,1,0.53333333333333,2.33333333333333
AHAB,5,40.9041095890411,-1,30,19,,,2.06666666666667,3.6,1.13333333333333,1.53333333333333,2.46666666666667
AHAB,6,31.9232876712329,-1,33,12,1,2,1.8,3.66666666666667,1.14285714285714,1.86666666666667,2.52380952380953
AHAB,7,38.8958904109589,-1,28,19,1,1,2.21428571428571,2.92307692307692,1,0.70879120879121,1.92307692307692
AHAB,8,51.7397260273973,-1,28,18,1,4,2.06666666666667,2.26666666666667,1,0.2,1.26666666666667
AHAB,9,31.427397260274,-1,28,12,1,7,2.69230769230769,2.76923076923077,1,0.0769230769230802,1.76923076923077
AHAB,10,54.6849315068493,-1,30,10,1,7,2.93333333333333,3.64285714285714,1.07692307692308,0.70952380952381,2.56593406593406
AHAB,11,48.6794520547945,1,29,4,1,2,3,4.23076923076923,1.14285714285714,1.23076923076923,3.08791208791209
AHAB,12,30.7342465753425,-1,30,19,1,4,3.13333333333333,3.42857142857143,1.21428571428571,0.2952380952381,2.21428571428572
AHAB,13,36.0493150684932,-1,26,18,1,2,2.86666666666667,3.21428571428571,1,0.34761904761904,2.21428571428571
AHAB,14,37.7397260273973,1,22,12,1,3,2.26666666666667,2.71428571428571,1,0.44761904761904,1.71428571428571
AHAB,15,36.5369863013699,1,33,17,1,3,2.4,3.13333333333333,1,0.73333333333333,2.13333333333333
AHAB,16,51.1643835616438,1,22,15,1,2,3.44444444444444,3.42857142857143,1,-0.01587301587301,2.42857142857143
AHAB,17,44.3643835616438,1,36,16,1,3,2.2,3.64285714285714,1,1.44285714285714,2.64285714285714
AHAB,18,50.2438356164384,1,27,15,1,1,2.78571428571429,3.92857142857143,1.07692307692308,1.14285714285714,2.85164835164835
AHAB,19,52.0657534246575,1,31,4,1,2,3.33333333333333,4.13333333333333,1.33333333333333,0.8,2.8
AHAB,20,37.1643835616438,-1,32,9,1,1,3.4,3.08333333333333,1.76923076923077,-0.31666666666667,1.31410256410256
AHAB,21,47.786301369863,1,36,14,1,8,2.90909090909091,2.85714285714286,1,-0.0519480519480502,1.85714285714286
AHAB,22,49.372602739726,1,29,22,1,2,1.33333333333333,2.73333333333333,1,1.4,1.73333333333333
AHAB,23,53.9424657534247,-1,31,14,1,1,2.78571428571429,3.6,1,0.81428571428571,2.6
AHAB,24,44.9342465753425,-1,36,18,1,1,3.4,3.69230769230769,1.2,0.29230769230769,2.49230769230769
AHAB,25,54.5506849315069,-1,30,11,1,1,2.4,3.13333333333333,1.35714285714286,0.73333333333333,1.77619047619047
AHAB,26,50.1452054794521,-1,31,18,1,8,3.21428571428571,3.5,1.28571428571429,0.28571428571429,2.21428571428571
AHAB,27,35.7698630136986,-1,23,16,1,3,3.28571428571429,3.1,1.5,-0.18571428571429,1.6
