SubID,Sample,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,RegNeg_Rating,LookNeg_Rating,LookNeuRating
1,AHAB,45.6520547945205,1,27,18,1,1,2.85714285714286,3.23076923076923,1.35714285714286
2,AHAB,30.3945205479452,1,24,9,1,1,2.46666666666667,3.6,1
3,AHAB,33.4849315068493,1,29,4,1,3,3.33333333333333,4.35714285714286,1.06666666666667
4,AHAB,35.2821917808219,1,30,18,1,6,2.8,3.33333333333333,1
5,AHAB,40.9041095890411,-1,30,19,NaN,NaN,2.06666666666667,3.6,1.13333333333333
6,AHAB,31.9232876712329,-1,33,12,1,2,1.8,3.66666666666667,1.14285714285714
7,AHAB,38.8958904109589,-1,28,19,1,1,2.21428571428571,2.92307692307692,1
8,AHAB,51.7397260273973,-1,28,18,1,4,2.06666666666667,2.26666666666667,1
9,AHAB,31.427397260274,-1,28,12,1,7,2.69230769230769,2.76923076923077,1
10,AHAB,54.6849315068493,-1,30,10,1,7,2.93333333333333,3.64285714285714,1.07692307692308
11,AHAB,48.6794520547945,1,29,4,1,2,3,4.23076923076923,1.14285714285714
12,AHAB,30.7342465753425,-1,30,19,1,4,3.13333333333333,3.42857142857143,1.21428571428571
13,AHAB,36.0493150684932,-1,26,18,1,2,2.86666666666667,3.21428571428571,1
14,AHAB,37.7397260273973,1,22,12,1,3,2.26666666666667,2.71428571428571,1
15,AHAB,36.5369863013699,1,33,17,1,3,2.4,3.13333333333333,1
16,AHAB,51.1643835616438,1,22,15,1,2,3.44444444444444,3.42857142857143,1
17,AHAB,44.3643835616438,1,36,16,1,3,2.2,3.64285714285714,1
18,AHAB,50.2438356164384,1,27,15,1,1,2.78571428571429,3.92857142857143,1.07692307692308
19,AHAB,52.0657534246575,1,31,4,1,2,3.33333333333333,4.13333333333333,1.33333333333333
20,AHAB,37.1643835616438,-1,32,9,1,1,3.4,3.08333333333333,1.76923076923077
21,AHAB,47.786301369863,1,36,14,1,8,2.90909090909091,2.85714285714286,1
22,AHAB,49.372602739726,1,29,22,1,2,1.33333333333333,2.73333333333333,1
23,AHAB,53.9424657534247,-1,31,14,1,1,2.78571428571429,3.6,1
24,AHAB,44.9342465753425,-1,36,18,1,1,3.4,3.69230769230769,1.2
25,AHAB,54.5506849315069,-1,30,11,1,1,2.4,3.13333333333333,1.35714285714286
26,AHAB,50.1452054794521,-1,31,18,1,8,3.21428571428571,3.5,1.28571428571429
27,AHAB,35.7698630136986,-1,23,16,1,3,3.28571428571429,3.1,1.5
28,AHAB,44.2794520547945,-1,30,16,1,3,3.2,3.38461538461538,1.06666666666667
29,AHAB,32.627397260274,-1,15,26,1,1,2.33333333333333,3,1
30,AHAB,49.2438356164384,1,NaN,NaN,1,1,3.35714285714286,4.46666666666667,1.13333333333333
31,AHAB,40.627397260274,1,23,21,1,3,2.85714285714286,4.78571428571429,1.15384615384615
32,AHAB,51.0465753424658,1,32,10,1,2,1.6,1.8,1
33,AHAB,46.2821917808219,-1,35,10,1,2,1.69230769230769,3.85714285714286,1.53333333333333
34,AHAB,32.7315068493151,-1,20,9,1,1,3.2,3.5,1
35,AHAB,53.8767123287671,-1,31,10,1,1,3,3,1
36,AHAB,54.5643835616438,1,32,19,1,2,2.46666666666667,3.83333333333333,1
37,AHAB,40.6301369863014,-1,28,16,1,2,2,2.92307692307692,1
38,AHAB,33.7643835616438,1,23,13,1,3,2.73333333333333,3.07692307692308,1
39,AHAB,34.6630136986301,-1,27,22,1,4,2.8,3.28571428571429,1
40,AHAB,53.3890410958904,-1,18,21,1,2,2.2,4.5,1
41,AHAB,44.2821917808219,-1,35,23,1,3,3.06666666666667,3.42857142857143,1.07142857142857
42,AHAB,53.9698630136986,1,29,14,1,8,3.6,3.64285714285714,1.07142857142857
43,AHAB,48.8547945205479,-1,36,20,1,1,2.35714285714286,4.07692307692308,1
