SubID,Sample,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,RegNeg_Rating,LookNeg_Rating,LookNeuRating
1,PIP,42.7095890410959,-1,30,15,1,6,2.93333333333333,3.73333333333333,1.06666666666667
2,PIP,47.0986301369863,-1,32,24,1,2,4,4.08333333333333,1.06666666666667
3,PIP,48.6904109589041,-1,20,4,1,3,2.06666666666667,3.66666666666667,2.93333333333333
4,PIP,49.4876712328767,1,24,16,0,9,3.57142857142857,3.38461538461538,1.46666666666667
5,PIP,39.6849315068493,1,38,13,1,1,2.46666666666667,4.35714285714286,1.53333333333333
6,PIP,43.4027397260274,1,27,6,1,4,3.66666666666667,3.2,1.06666666666667
7,PIP,33.8246575342466,1,20,12,0,8,3.5,4.06666666666667,1.53333333333333
8,PIP,30.641095890411,-1,29,16,1,4,3.4,4.06666666666667,1.26666666666667
9,PIP,32.4164383561644,1,37,18,1,3,2.71428571428571,3.66666666666667,1.06666666666667
10,PIP,40.9890410958904,-1,28,22,1,4,3.64285714285714,3.83333333333333,1.06666666666667
11,PIP,37.0849315068493,-1,42,22,1,3,1.57142857142857,2.06666666666667,1
12,PIP,31.172602739726,1,27,6,1,3,3.4,3.57142857142857,1
13,PIP,31.6219178082192,1,30,4,1,4,4.2,3.73333333333333,1
14,PIP,43.1260273972603,-1,26,18,1,2,2.8,3.46666666666667,1.06666666666667
15,PIP,31.4301369863014,1,35,12,1,3,2.73333333333333,4.06666666666667,1.2
16,PIP,44.8794520547945,1,26,18,1,2,3.26666666666667,4.38461538461539,1.46666666666667
17,PIP,41.4164383561644,1,30,12,1,3,2.66666666666667,2.25,1.33333333333333
18,PIP,33.0301369863014,-1,35,20,1,1,3.5,3.53846153846154,1.13333333333333
19,PIP,35.9506849315068,1,27,10,1,2,1.53333333333333,3.26666666666667,1.06666666666667
20,PIP,47.2767123287671,1,29,7,1,2,2,2.86666666666667,1
21,PIP,38.8438356164384,-1,33,15,1,1,2.64285714285714,3.66666666666667,1.28571428571429
22,PIP,36.9643835616438,-1,29,12,1,4,3.14285714285714,3.33333333333333,1.2
23,PIP,49.827397260274,1,30,11,0,4,2.4,4.35714285714286,1.33333333333333
24,PIP,48.8821917808219,-1,26,22,1,1,4.53333333333333,4.6,1
25,PIP,30.2328767123288,1,42,7,1,2,1.5,1.42857142857143,1
26,PIP,34.7835616438356,1,27,13,1,2,2.06666666666667,3.53333333333333,1.53333333333333
27,PIP,36.8438356164384,1,23,9,1,1,2.86666666666667,3.2,1
28,PIP,40.5780821917808,1,32,10,1,1,3.375,4,1
29,PIP,47.4876712328767,-1,27,17,1,3,3.2,4.35714285714286,1.5
30,PIP,35.5671232876712,-1,31,15,1,1,2.66666666666667,3.26666666666667,1.26666666666667
31,PIP,49.1178082191781,-1,31,19,1,3,3.06666666666667,4.13333333333333,1.33333333333333
32,PIP,37.2082191780822,1,30,13,1,3,3,3.26666666666667,1.06666666666667
33,PIP,41.5095890410959,1,30,20,1,3,4.07142857142857,4.21428571428571,1.73333333333333
34,PIP,30.9671232876712,-1,26,9,1,2,3.42857142857143,4.07142857142857,1.07692307692308
35,PIP,36.2684931506849,1,34,13,1,1,3.53333333333333,4.06666666666667,1.14285714285714
36,PIP,34.4876712328767,-1,31,15,1,1,3.6,4,1
37,PIP,48.0657534246575,-1,28,15,1,1,3.2,3.86666666666667,1.06666666666667
38,PIP,37.6986301369863,-1,24,10,1,3,2.66666666666667,3.6,1.46666666666667
39,PIP,48.0109589041096,-1,30,14,1,6,4.46666666666667,3.86666666666667,1.28571428571429
40,PIP,48.5369863013699,1,32,12,1,3,3.26666666666667,4,1
