"id","name","file","file_size","map_type","analysis_level","modality","target_template_image","description"
"838525","PIP Subject0001 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0001_LookNeg_Beta.nii.gz","1947194","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838526","PIP Subject0001 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0001_LookNeu_Beta.nii.gz","1946919","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838527","PIP Subject0001 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0001_RegNeg_Beta.nii.gz","1947157","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838528","PIP Subject0002 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0002_LookNeg_Beta.nii.gz","1912443","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838529","PIP Subject0002 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0002_LookNeu_Beta.nii.gz","1912690","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838530","PIP Subject0002 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0002_RegNeg_Beta.nii.gz","1913334","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838531","PIP Subject0003 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0003_LookNeg_Beta.nii.gz","1945780","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838532","PIP Subject0003 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0003_LookNeu_Beta.nii.gz","1945006","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838533","PIP Subject0003 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0003_RegNeg_Beta.nii.gz","1944653","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838534","PIP Subject0004 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0004_LookNeg_Beta.nii.gz","2018738","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838535","PIP Subject0004 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0004_LookNeu_Beta.nii.gz","2017809","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838536","PIP Subject0004 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0004_RegNeg_Beta.nii.gz","2017700","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838537","PIP Subject0005 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0005_LookNeg_Beta.nii.gz","1960854","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838538","PIP Subject0005 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0005_LookNeu_Beta.nii.gz","1960494","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838539","PIP Subject0005 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0005_RegNeg_Beta.nii.gz","1960454","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838540","PIP Subject0006 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0006_LookNeg_Beta.nii.gz","2055910","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838541","PIP Subject0006 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0006_LookNeu_Beta.nii.gz","2055053","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838542","PIP Subject0006 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0006_RegNeg_Beta.nii.gz","2055791","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838543","PIP Subject0007 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0007_LookNeg_Beta.nii.gz","1960139","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838544","PIP Subject0007 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0007_LookNeu_Beta.nii.gz","1959354","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838545","PIP Subject0007 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0007_RegNeg_Beta.nii.gz","1960744","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
